:@computed_region_5kre_ccpb,:@computed_region_gwq4_fjxs,:@computed_region_s6p5_2pgr,crimecode,crimedate,crimetime,description,district,inside_outside,latitude,location,location_1,location_1_address,location_1_city,location_1_state,location_1_zip,longitude,neighborhood,post,premise,total_incidents,weapon
105,225,27291,6J,2015-10-07T00:00:00.000,13:54:00,LARCENY,NORTHEASTERN,O,39.35634,5900 HARFORD RD,POINT (-76.558 39.35634),,,,,-76.558,Hamilton Hills,423,STREET,1,
240,117,27954,3B,2017-09-28T00:00:00.000,2:20:00,ROBBERY - STREET,SOUTHEASTERN,O,39.28791,2100 GOUGH ST,POINT (-76.58662 39.28791),,,,,-76.58662,Upper Fells Point,212,STREET,1,
240,117,27954,3B,2017-09-28T00:00:00.000,2:20:00,ROBBERY - STREET,SOUTHEASTERN,O,39.28791,2100 GOUGH ST,POINT (-76.58662 39.28791),,,,,-76.58662,Upper Fells Point,212,STREET,1,
208,60,27295,6E,2017-09-27T00:00:00.000,11:00:00,LARCENY,NORTHWESTERN,O,39.35756,6600 REISTERSTOWN RD,POINT (-76.70439 39.35756),,,,,-76.70439,Reisterstown Station,631,PARKING LO,1,
222,173,27953,6E,2017-09-22T00:00:00.000,17:00:00,LARCENY,SOUTHERN,O,39.27209,1500 CLARKSON ST,POINT (-76.61612 39.27209),,,,,-76.61612,South Baltimore,943,STREET,1,
8,140,27935,6F,2017-07-27T00:00:00.000,12:20:00,LARCENY,SOUTHEASTERN,O,39.29368,CONKLING ST & E FAIRMOUNT AV,POINT (-76.56762 39.29368),,,,,-76.56762,Baltimore Highlands,223,STREET,1,
167,74,27950,5B,2017-09-29T00:00:00.000,10:00:00,BURGLARY,SOUTHWESTERN,,39.28589,0 S MORLEY ST,POINT (-76.67499 39.28589),,,,,-76.67499,Saint Josephs,842,,1,
183,209,27307,6D,2017-09-29T00:00:00.000,19:00:00,LARCENY FROM AUTO,NORTHEASTERN,O,39.34262,1300 NORTHVIEW RD,POINT (-76.59661 39.34262),,,,,-76.59661,Original Northwood,413,STREET,1,
30,114,27935,6D,2016-11-11T00:00:00.000,15:00:00,LARCENY FROM AUTO,SOUTHEASTERN,O,39.28438,3100 FOSTER AVE,POINT (-76.57276 39.28438),,,,,-76.57276,Canton,232,STREET,1,
209,12,14006,3AK,2017-09-24T00:00:00.000,12:51:00,ROBBERY - STREET,NORTHERN,O,39.31998,2700 HUNTINGDON AVE,POINT (-76.62214 39.31998),,,,,-76.62214,Remington,511,STREET,1,KNIFE
199,228,28564,3B,2017-09-26T00:00:00.000,4:03:00,ROBBERY - STREET,NORTHEASTERN,O,39.35367,1900 NORTHBOURNE RD,POINT (-76.58126 39.35367),,,,,-76.58126,Perring Loch,415,STREET,1,
193,184,27307,4A,2017-09-27T00:00:00.000,4:45:00,AGG. ASSAULT,NORTHERN,O,39.33812,4000 OLD YORK RD,POINT (-76.60761 39.33812),,,,,-76.60761,Pen Lucy,542,STREET,1,FIREARM
183,185,27307,3AJF,2017-09-30T00:00:00.000,1:30:00,ROBBERY - CARJACKING,NORTHEASTERN,O,39.33792,1300 ROUNDHILL RD,POINT (-76.59642 39.33792),,,,,-76.59642,Original Northwood,413,STREET,1,FIREARM
194,1,27953,5D,2017-09-27T00:00:00.000,10:00:00,BURGLARY,SOUTHERN,,39.28518,600 PORTLAND ST,POINT (-76.62493 39.28518),,,,,-76.62493,Ridgely's Delight,941,,1,
12,163,27950,6E,2017-06-01T00:00:00.000,0:00:00,LARCENY,SOUTHWESTERN,O,39.27762,4800 OVERTON ST,POINT (-76.69593 39.27762),,,,,-76.69593,Beechfield,833,STREET,1,
140,63,27295,7A,2017-09-21T00:00:00.000,22:00:00,AUTO THEFT,NORTHWESTERN,O,39.34217,4900 REISTERSTOWN RD,POINT (-76.678 39.34217),,,,,-76.678,Lucille Park,613,STREET,1,
121,6,13645,6G,2017-09-26T00:00:00.000,17:59:00,LARCENY,CENTRAL,,39.28676,600 E PRATT ST,POINT (-76.60774 39.28676),,,,,-76.60774,Inner Harbor,112,,1,
192,122,27935,5A,2017-09-24T00:00:00.000,4:25:00,BURGLARY,SOUTHEASTERN,I,39.29437,2300 E FAYETTE ST,POINT (-76.58394 39.29437),,,,,-76.58394,Patterson Place,221,ROW/TOWNHO,1,
23,277,26956,4E,2017-09-30T00:00:00.000,10:49:00,COMMON ASSAULT,EASTERN,O,39.31012,1700 N MONTFORD AVE,POINT (-76.58445 39.31012),,,,,-76.58445,Broadway East,331,STREET,1,HANDS
131,140,13987,6E,2017-09-28T00:00:00.000,6:35:00,LARCENY,EASTERN,O,39.30025,5400 PULASKI HWY,POINT (-76.55255 39.30025),,,,,-76.55255,Kresson,241,PARKING LO,1,
